content,label
"<结论>:符合

<符合性分析>:文件《基础设施和工作环境管理程序》中详细规定了基础设施设备的提供、维护、移动、保养、报废以及标识等方面的要求。这些要求涵盖了设备在不同状态下的管理，包括清洁状态、运行状态、管理状态等，同时也明确了设备在移动和改装过程中需要遵循的步骤和责任部门。因此，可以认为该文件中的规定符合“资源管理:基础设施,维护活动的要求应适用于工作环境控制设备”的要求。

<原文>:1．目的保证与质量活动有关的基础设施被及时确定、提供及适时的维护，确保厂房及设施布局的合理性，从而保证产品质量的符合性和工作环境的适宜性。
3．职责
3.1 人事行政部负责“非过程设施设备”的提供及财产管理监督；
3.2 研发部负责工装等“过程设施设备”的识别与确定，并协助生产部、质量法规部完成工装制作；
3.3 采购部负责外购设备的采购，采购原始资料和记录的保管；
3.4 生产部负责建立生产设备使用、清洁、维护和维修的操作规程；
3.5．质量法规部负责本程序范围内基础设施和设备使用、清洁、维护和维修记录的归口管理；
建立基础设施和设备台账；
4.1.6.1 需要移动设备时，如能进行整体移动，可直接移动设备，但也应注意尽可能少移动设备。大型设备、需要拆卸才能移动的设备、移动可能破坏性能的设备，应经研发部同意后才可移动，大型设备移动后，需经过调试合格方可使用。
4.1.6.2 搬运过程应尽量轻搬轻放，防止损坏和失效，搬运时应做好防护措施，必要时增加外包装或防护设备进行辅助搬运，有特殊规定设备，搬运过程应确保温度、湿度、防尘、防振等环境条件满足规定要求；
4.1.6.3 当设备需要改装时，应由使用部门负责人申请，由研发部等部门审核后交总工程师批准。
4.1.6.4 改装和调试工作由研发部负责，填写“设备/工装维修（改装）记录单”，投入使用前有使用部门及质量法规部验收，合格后方可投入使用。
4.1.7基础设施设备保养
4.1.8.2 设备的维修由使用部门负责，遇有技术问题可向部门负责人报告，申请其他部门技术支持。
4.1.9基础设施设备报废由使用部门提出申请，填写“设备/工装报废记录单”，主管领导审核后,交总裁批准,执行报废。
4.1.10基础设施设备标识
4.1.10.1基础设施设备应当有明显的设备状态标识或设施区域性划分标识，防止非预期使用；
4.1.10.2生产设备及工装等应至少包含以下标识信息：
1)清洁状态：已清洁、待清洁；
2)运行状态：正常使用、正在使用、未使用、调试中、保养中；
3)管理状态：停机、报废、封存、待销毁；
4)其他实际状态信息描述。
4.1.10.3其他公共工程设备及管道设施等需将设备编号固定于设备显著位置，同时应将设备编号登记造册，并实时更新维护；对于固定管道设施应明确标识内容物及其走向。",1
"<结论>:符合

<符合性分析>:相关文件中明确提出了关于监视和测量装置的管理和维护的要求，这些要求涵盖了设备的状态标识、偏离标准状态的控制、以及设备的校准和维护等方面。这些内容均属于资源管理中的基础设施和维护活动的要求，适用于监视和测量设备。

<原文>: 
<监视和测量装置控制程序>: 
4.11 检验仪器和设备标识
4.11.1 检验仪器和设备在使用过程中应当有明显的状态标识；
4.11.2 检验仪器和设备也应至少包含以下标识信息：
1)清洁状态：已清洁、待清洁；
2)运行状态：正常使用、正在使用、未使用、保养中；
3)管理状态：停机、报废、封存、待销毁；
4)其他实际状态信息描述。
4.12计量设备偏离标准状态的控制
4.12.1 计量设备在使用过程中发现有异常情况时，不得任意拆卸和调整，应立即停止使用，作好记录，并及时报告研发部和质量法规部，质量法规部必须在仪器贴上“停用证”标签； 质量法规部组织相关部门对以往测量结果的有效性及对产品的影响程度进行评估；
4.5.3 质量法规部应指定专人对检验仪器和设备进行监督管理。要求照章使用，严格按照设备说明书或操作规程使用设备，确保设备测量能力与要求相一致，防止发生可能使测量结果失效的调整；
4.5.4 操作者在使用前应对仪器和设备状态进行确认。应按规定检查计量设备是否处于正常状态下，是否在校准有效期限内，使用后应做适当的维护和保养工作；
4.5.5 计量设备必须有检定报告/校准合格证，对不合格或超过周检限期的检验设备一律禁止使用；如遇特殊困难确实不能按时送检又须使用的测量设备，需办理脱检手续，报总工程师/管理者代表批准后可适当延期使用；一般延期1个月，最长不超过3个月。",1
"<结论>:符合
<符合性分析>:文件中提到的“设备/工装维修（改装）记录单”、“设备维修/保养记录表”等记录单据表明公司内部有保留维护活动记录的要求，这与“资源管理:基础设施,组织应保留维护活动的记录。”的要求相一致。
<原文>:《设备/工装维修（改装）记录单》、《设备维修/保养记录表》

这些记录单据用于记录设备或工装的维修、保养等活动，确保了维护活动的记录得以保留，满足了基础设施管理中关于保留维护活动记录的要求。",1
"<结论>: 符合

<符合性分析>: 文件中详细描述了“产品实现的策划控制程序”和“质量手册”中关于产品实现策划的要求。这些要求涵盖了产品实现策划的各个方面，包括策划的触发条件、策划的内容、风险管理策划等，完全符合ISO9001:2015标准中关于“产品实现:产品实现的策划,组织应策划和开发产品实现所需的过程”的要求。

<原文>: 
1. <产品实现的策划控制程序>:
   - 目的规范特定产品、立项、定型产品的设计更改或合同特殊要求的产品实现策划过程，明确质量措施、资源管理和活动顺序要求，确保产品设计结果满足预期要求。
   - 4.2 产品实现的策划内容：
     - 4.2.1 详细的方案和（或）质量目标；
     - 4.2.2 针对特定产品、项目或合同所需建立的过程和子过程，应识别关键过程和活动或涉及的活动规定途径，并对这些途径进行评审和形成文件；
     - 4.2.3 识别并提供上述过程所需的资源配置、运作阶段的划分，人员职责和相互关系；
     - 4.2.4 确定过程涉及的验证和确认活动及验收准则；对过程和产品的重要特性或关键特性，应安排测量和监控活动；对其中某些特殊过程的输出应按输入的要求进行验证并确认；
     - 4.2.5 确定为过程和产品的符合性提供证据的质量记录；
     - 4.2.6 确定产品名称、功能需求、市场定位、市场系统策划、市场需求和期望等。
   
2. <质量手册>:
   - b) 产品实现主过程，包括产品实现的策划、运行控制、与顾客有关的过程、法律法规和其他要求、信息交流、设计与开发、采购、生产与服务的提供以及监视和测量装置的控制，此过程是使本公司增值的过程。
   - c) 改进产品实现过程，包括管理评审、内部审核、监视和测量、合规性评价、不合格品控制、应急准备和响应、数据分析与不符合、纠正措施和预防措施，此过程有助于确保和保持本公司的管理体系的持续适宜性和有效性，超越顾客要求。",1
"<结论>: 符合

<符合性分析>: 根据《质量手册》和《产品实现的策划控制程序》的内容，可以得出公司内部确实有提出与“产品实现:产品实现的策划,产品实现的策划应与质量管理体系其他过程的要求相一致”相对应的要求。具体来说，《质量手册》中提到的产品实现主过程涵盖了多个方面，包括产品实现的策划、运行控制、与顾客有关的过程等，这些都与GB/T19001-2016标准一致。而《产品实现的策划控制程序》则详细规定了产品实现策划的具体内容和流程，确保其与质量管理体系的其他过程相协调。

<原文>: 
《质量手册》:
“产品实现主过程，包括产品实现的策划、运行控制、与顾客有关的过程、法律法规和其他要求、信息交流、设计与开发、采购、生产与服务的提供以及监视和测量装置的控制，此过程是使本公司增值的过程。”

《产品实现的策划控制程序》:
“4.2 产品实现的策划内容：
4.2.1 详细的方案和（或）质量目标；
4.2.2 针对特定产品、项目或合同所需建立的过程和子过程，应识别关键过程和活动或涉及的活动规定途径，并对这些途径进行评审和形成文件；
4.2.3 识别并提供上述过程所需的资源配置、运作阶段的划分，人员职责和相互关系；
4.2.4 确定过程涉及的验证和确认活动及验收准则；对过程和产品的重要特性或关键特性，应安排测量和监控活动；对其中某些特殊过程的输出应按输入的要求进行验证并确认；
4.2.5 确定为过程和产品的符合性提供证据的质量记录；
4.2.6 确定产品名称、功能需求、市场定位、市场系统策划、市场需求和期望等。”",1
"<结论>:符合

<符合性分析>:文件中提到的产品实现策划过程中包含了风险管理的策划，这表明公司在产品实现过程中确实考虑到了风险管理，并且有相应的文件化过程。文件中的内容涵盖了产品实现策划的多个方面，其中包括了对特定产品、立项、定型产品的设计更改或合同特殊要求的产品实现策划过程的规范，明确了质量措施、资源管理和活动顺序要求，确保产品设计结果满足预期要求。此外，文件还详细描述了产品策划流程，包括市场调研、产品策划报告的编制等步骤，这些都间接地支持了风险管理的文件化过程。

<原文>:“4.3 风险管理策划: <产品实现的策划控制程序>:1．目的规范特定产品、立项、定型产品的设计更改或合同特殊要求的产品实现策划过程，明确质量措施、资源管理和活动顺序要求，确保产品设计结果满足预期要求。”

该段文字表明，公司内部对于产品实现策划过程中包含风险管理的要求是明确的，并且有相应的文件化过程。虽然没有直接提到“风险管理”这个词，但其内容涵盖了风险管理的关键要素，如设计更改、合同特殊要求以及确保产品设计结果满足预期要求等，这些都是风险管理的重要组成部分。因此，可以认为公司内部的要求符合“产品实现:产品实现的策划,组织应在产品实现过程中，将风险管理的一个或多个过程形成文件”的要求。",1
"<结论>:符合

<符合性分析>:根据提供的文件内容，《产品实现的策划控制程序》中明确提出了在产品实现策划过程中需要进行风险管理策划，并且《质量手册》中也提及了风险管理活动。此外，《产品实现的策划控制程序》中提到的产品实现策划内容包括了“风险管理策划”，并且《质量手册》中也提到了“风险管理活动”。因此，公司内部的要求确实包含了“产品实现:产品实现的策划,组织应保留风险管理活动的记录”的相关内容。

<原文>: 
1. 《产品实现的策划控制程序》中提到：“4.3 风险管理策划:”。
2. 《质量手册》中提到：“c) 风险管理活动；”


综上所述，公司内部的要求符合“产品实现:产品实现的策划,组织应保留风险管理活动的记录”的描述。",1
"<结论>:符合

<符合性分析>:文件《产品实现的策划控制程序》中详细描述了在产品实现过程中策划的具体要求，其中包括了质量目标和产品要求的确定。这与“产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定质量目标和产品的要求。”这一要求相一致。

<原文>:“4.2产品实现的策划内容：
4.2.1详细的方案和（或）质量目标；
4.2.2 针对特定产品、项目或合同所需建立的过程和子过程，应识别关键过程和活动或涉及的活动规定途径，并对这些途径进行评审和形成文件；
4.2.3识别并提供上述过程所需的资源配置、运作阶段的划分，人员职责和相互关系；
4.2.4确定过程涉及的验证和确认活动及验收准则；对过程和产品的重要特性或关键特性，应安排测量和监控活动；对其中某些特殊过程的输出应按输入的要求进行验证并确认；
4.2.5确定为过程和产品的符合性提供证据的质量记录；
4.2.6确定产品名称、功能需求、市场定位、市场系统策划、市场需求和期望等。”",1
"<结论>: 符合

<符合性分析>: 文件中详细描述了产品实现的策划过程，包括对特定产品、项目或合同所需建立的过程和子过程的识别、评审和文件化。此外，文件还明确了资源配置、运作阶段的划分、人员职责、验证和确认活动、质量记录的确定以及产品名称、功能需求、市场定位等方面的策划内容。这些内容表明，在策划产品实现的过程中，组织确实会根据需要确定针对产品建立过程的需求。

<原文>: 
“4.2 产品实现的策划内容：
4.2.1 详细的方案和（或）质量目标；
4.2.2 针对特定产品、项目或合同所需建立的过程和子过程，应识别关键过程和活动或涉及的活动规定途径，并对这些途径进行评审和形成文件；
4.2.3 识别并提供上述过程所需的资源配置、运作阶段的划分，人员职责和相互关系；
4.2.4 确定过程涉及的验证和确认活动及验收准则；对过程和产品的重要特性或关键特性，应安排测量和监控活动；对其中某些特殊过程的输出应按输入的要求进行验证并确认；
4.2.5 确定为过程和产品的符合性提供证据的质量记录；
4.2.6 确定产品名称、功能需求、市场定位、市场系统策划、市场需求和期望等。”

以上内容直接支持了文件中提到的关于产品实现策划的要求，即在策划过程中适当时确定针对产品建立过程的需求。",1
"<结论>: 符合

<符合性分析>: 文件《产品实现的策划控制程序》中详细描述了在策划产品实现的过程中，需要确定文件和提供资源的需求，包括基础设施和工作环境。例如，在程序内容的4.2.3部分明确指出“识别并提供上述过程所需的资源配置、运作阶段的划分，人员职责和相互关系”，这表明公司在策划产品实现时会考虑到资源需求，包括基础设施和工作环境。

<原文>: “4.2.3 识别并提供上述过程所需的资源配置、运作阶段的划分，人员职责和相互关系；”

该部分内容直接支持了公司内部对于产品实现策划过程中确定文件和提供资源需求的要求。因此，可以认为文件中的描述符合题述要求。",1
"<结论>: 符合

<符合性分析>: 相关文件中详细描述了产品实现策划过程中需要确定的活动，其中包括验证、确认、监视、测量、检验和试验活动。这与“产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定针对产品所要求的验证、确认、监视、测量、检验和试验活动。”的要求是一致的。

<原文>: 
4.2.4 确定过程涉及的验证和确认活动及验收准则；对过程和产品的重要特性或关键特性，应安排测量和监控活动；对其中某些特殊过程的输出应按输入的要求进行验证并确认；

4.2.5 确定为过程和产品的符合性提供证据的质量记录；

以上内容表明，在产品实现策划过程中，公司已经明确了需要进行验证、确认、监视、测量、检验和试验活动的要求，符合ISO9001标准中关于产品实现策划的规定。",1
"<结论>:不符合

<符合性分析>:根据提供的《产品实现的策划控制程序》文件内容，该文件详细描述了产品实现策划过程中涉及的设计更改、合同特殊要求、风险管理、市场调研、产品策划报告编制等内容。然而，文件中并未提及关于产品实现过程中针对产品所要求的处置、贮存、流通和可追溯性活动的具体要求。

<原文>:无直接相关原文。",0
"<结论>:符合

<符合性分析>:根据提供的文件内容，《产品实现的策划控制程序》中详细描述了产品实现策划的内容，其中包括“确定过程涉及的验证和确认活动及验收准则”。这表明公司在策划产品实现时会确定产品接收准则，因此符合“产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定产品接收准则”的要求。

<原文>:“4.2.4 确定过程涉及的验证和确认活动及验收准则；对过程和产品的重要特性或关键特性，应安排测量和监控活动；对其中某些特殊过程的输出应按输入的要求进行验证并确认；”——《产品实现的策划控制程序》",1
"<结论>: 符合

<符合性分析>: 文件中提到的产品实现策划过程中需要确定“为过程和产品的符合性提供证据的质量记录”，这与“产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定为实现过程及其产品满足要求提供证据所需的记录”这一要求相一致。文件中的规定明确了在产品实现策划时需要考虑的质量记录，以确保过程和产品的符合性。

<原文>:4.2.5 确定为过程和产品的符合性提供证据的质量记录；",1
"<结论>:符合

<符合性分析>:文件中详细描述了产品实现策划的过程及其输出内容，包括但不限于详细的方案和质量目标、过程和子过程的识别、资源配置、验证和确认活动、质量记录的确定等。这些内容均以文件形式呈现，符合“产品实现的策划的输出应以适合于组织运行方式的形式形成文件”的要求。

<原文>:“4.2 产品实现的策划内容：
4.2.1 详细的方案和（或）质量目标；
4.2.2 针对特定产品、项目或合同所需建立的过程和子过程，应识别关键过程和活动或涉及的活动规定途径，并对这些途径进行评审和形成文件；
4.2.3 识别并提供上述过程所需的资源配置、运作阶段的划分，人员职责和相互关系；
4.2.4 确定过程涉及的验证和确认活动及验收准则；对过程和产品的重要特性或关键特性，应安排测量和监控活动；对其中某些特殊过程的输出应按输入的要求进行验证并确认；
4.2.5 确定为过程和产品的符合性提供证据的质量记录；
4.2.6 确定产品名称、功能需求、市场定位、市场系统策划、市场需求和期望等。”

以上内容表明，产品实现的策划输出是以文件形式存在的，符合标准要求。",1
"<结论>:符合
<符合性分析>:相关文件中详细描述了设计和开发策划的要求，包括设计策划的内容、设计输入和输出的要求、设计评审、验证和确认等活动，这些都符合“设计和开发:设计和开发策划,组织应对产品的设计和开发进行策划和控制”的要求。
<原文>: 
- <质量手册>:a) 研发根据市场调研或顾客的要求(或)反馈的信息,对新产品和/或新项目进行设计策划,并负责相关的设计输入资料的收集,报主管领导批准。
- b) 研发组织对设计与开发进行具体的策划，包括策划的阶段，每个阶段的评审安排，每个阶段的验证、确认和设计转换活动，每个阶段的职责和权限，人员需求及配置，形成规范要求的技术开发文档以便可追溯性检索。
- <设计控制程序>:4 程序内容设计开发阶段大致分为设计策划、设计输入、设计输出、设计评审、设计验证、设计确认和设计转换等阶段，各阶段的接口与沟通参见《信息沟通与数据分析控制程序》执行。
- 根据《医疗器械生产质量管理规范》的要求，产品开发应当包括如下八大要素。
1）设计策划设计策划应包括以下内容：
a.设计和开发项目的目标和意义，技术指标分析；
b.确定了设计和开发各阶段，以及适合于每个设计和开发阶段的评审、验证、确认和设计转换活动；
c.识别和确定各个部门设计和开发的活动和接口，明确各阶段的人员或组织的职责、评审人员的组成，以及各阶段预期的输出结果；
d.主要任务和阶段性任务的策划安排与整个项目的一致；
e.确定产品技术要求的制定、验证、确认和生产活动所需的测量装置；
- <设计控制程序>:划 品策划报告》，策划流程按《产品实现的策划控 《设计任务书》
制程序》执行，应确定文件、阶段负责人及评审成员，设计输入、设计输出、设计评审、设 输出：
计验证、设计确认和设计转换等阶段的具体要 《产品策划报告》
求，以及确定组织、技术和设计的接口； 《研发计划书》
2) 任命开发小组成员,形成《项目成员任命书》 《项目成员任命书》
3) 研发部根据《产品策划报告》主导制订《研发 《风险管理计划》
计划书》，明确完成任务的时间表，研发根据项 《产品验证方案》
目的不同确定项目计划包括哪些子计划。 《产品软件验证方案》
4)设计策划应随着设计和开发的推进进行评审、更 《设计评审记录》
新，并经总裁批准。",1
